id,date
1,11/24/04
2,3/22/05
3,6/2/05
4,6/14/05
5,7/1/05
6,8/31/05
7,9/1/05
8,10/1/05
9,11/14/05
10,12/9/05
11,2/14/06
12,4/6/06
13,5/26/06
14,6/14/06
15,7/7/06
16,8/3/06
17,9/14/06
18,10/25/06
19,11/20/06
20,12/21/06
21,1/23/07
22,1/30/07
23,2/25/07
24,3/16/07
25,4/13/07
26,5/24/07
27,6/16/07
28,7/23/07
29,8/13/07
30,9/6/07
31,10/19/07
32,11/12/07
33,12/11/07
34,1/1/08
35,2/6/08
36,3/1/08
37,4/1/08
38,6/17/08
39,7/3/08
40,9/18/08
41,10/8/08
42,11/19/08
43,12/18/08
44,1/20/09
45,2/13/09
46,3/20/09
47,4/10/09
48,7/20/09
49,8/10/09
50,9/15/09
51,10/19/09
52,11/6/09
53,12/17/09
54,2/16/10
55,3/14/10
56,4/14/10
57,5/5/10
58,6/19/10
59,7/1/10
60,8/24/10
61,9/1/10
62,10/19/10
63,11/6/10
64,12/27/10
65,1/18/11
66,2/22/11
67,3/11/11
68,4/26/11
69,5/16/11
70,7/14/11
71,9/19/11
72,11/16/11
73,3/28/12
74,4/19/12
75,5/4/12
76,7/19/12
77,8/10/12
78,9/16/12
79,10/21/12
80,11/15/12
81,12/3/12
82,1/15/13
83,3/24/13
84,4/17/13
85,5/13/13
86,6/7/13
87,7/3/13
88,8/23/13
89,9/22/13
90,10/23/13
91,11/14/13
92,12/6/13
93,2/4/14
94,4/15/14
95,7/3/14
96,8/5/14
97,9/19/14
98,10/28/14
99,11/5/14
100,12/19/14
101,2/6/15
102,3/1/15
103,4/10/15
104,5/18/15
105,6/29/15
106,8/20/15
107,9/19/15
108,10/22/16
109,12/13/16
110,2/16/17
111,3/24/17
