year,riverNorth,streeterville,riverWest,fultonMarketGreektown,loop,southLoop,goldCoast,nearNorth,westLoop,lincolnPark,totalOther,totalcity,
1999,0,0,0,0,0,0,0,0,0,0,0,0,
2000,0,0,684,0,0,0,0,0,0,0,0,684,
2001,0,0,684,0,0,0,0,0,0,0,0,684,
2002,473,0,984,0,0,0,0,0,0,0,0,1457,
2003,473,0,984,0,0,0,0,0,0,0,0,1457,
2004,473,0,984,0,0,0,0,0,0,0,0,1457,
2005,473,0,984,0,0,0,171,0,0,0,0,1628,
2006,473,481,1429,0,0,0,171,0,0,0,0,2554,
2007,883,481,1429,0,0,0,171,0,0,0,0,2964,
2008,883,481,1779,0,0,0,171,0,0,0,0,3314,
2009,883,961,2061,0,0,0,171,0,0,0,467,4543,
2010,1551,961,2909,0,387,0,171,0,0,0,467,6446,
2011,1551,961,2909,0,387,0,171,0,0,0,467,6446,
2012,1551,961,2909,0,387,0,171,0,0,324,717,7020,
2013,2400,1778,3405,0,387,0,171,0,0,324,1232,9697,
2014,2400,1778,3405,0,1223,0,171,0,439,324,1232,10972,
2015,2588,2176,3405,666,1223,0,538,516,629,523,1232,13496,
2016,3097,2666,3632,893,2319,0,608,823,629,523,1232,16422,
2017,4823,3150,4044,1201,2584,0,1499,1101,828,523,1232,20985,
2018,5729,3594,4149,2299,2584,620,1499,1506,828,714,2451,25973,
2019,6645,4003,4149,3174,2967,2525,1557,1506,1532,1254,3351,32663,
2020,6665,4003,4563,3994,2967,2525,1557,1843,1532,1254,3612,34515,
2021,6665,5275,4563,4046,2967,2525,1557,1843,1532,1254,3852,36079,
2022,6665,5275,4563,4046,2967,2525,2501,1843,1532,1254,3852,37023,
2023,7021,5525,4563,4046,2967,2525,2501,1843,1532,1254,3852,37629,
2024,7021,5525,4563,4046,2967,2525,2501,1843,1532,1254,3852,37629,
